id;disaster_type;disaster_subtype;event_name;country;subregion;location;origin;magnitude;magnitude_scale;latitude;longitude;start_year;start_month;start_day;end_year;end_month;end_day;total_deaths;total_injured;total_homeless;total_affected;total_damage;summary;quote;sound_url;image_url
1914-0001-TKL;Storm;Tropical cyclone;;Tokelau;Polynesia;Atafu;;;Kph;;;1914;1;;1914;1;;;;;;;On 1914, storm occurred in Atafu, Tokelau, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1925-0006-TKL;Storm;Tropical cyclone;;Tokelau;Polynesia;;;;Kph;;;1925;12;;1925;12;;;;;;;On 1925, storm occurred in an unspecified location, Tokelau, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1931-0006-FJI;Storm;Tropical cyclone;;Fiji;Melanesia;Labasa, Lautoka;;;Kph;;;1931;2;16;1931;2;16;200;;;;;On February 16, 1931, storm occurred in Labasa, Lautoka, Fiji, within the Melanesia subregion. It resulted in 200 deaths.;;;
1931-0011-SLB;Earthquake;Tsunami;;Solomon Islands;Melanesia;San Cristobal isl.;Earthquake;7.9;Moment Magnitude;11.117;161.11;1931;10;4;1931;10;4;50;;;;;On October 4, 1931, a magnitude 7.9 Moment Magnitude earthquake occurred in San Cristobal isl., Solomon Islands, within the Melanesia subregion. It resulted in 50 deaths.;;;
1937-0004-PNG;Volcanic activity;Ash fall;Tavurvur;Papua New Guinea;Melanesia;Rabaul;;;;;;1937;5;29;1937;5;29;506;;;7500;;On May 29, 1937, volcanic activity occurred in Rabaul, Papua New Guinea, within the Melanesia subregion. It resulted in 506 deaths.;;;
1939-0003-NCL;Storm;Tropical cyclone;;New Caledonia;Melanesia;Belep, Loyalty Islands;;;Kph;;;1939;3;25;1939;3;25;3;;;;;On March 25, 1939, storm occurred in Belep, Loyalty Islands, New Caledonia, within the Melanesia subregion. It resulted in 3 deaths.;;;
1940-0006-VUT;Storm;Tropical cyclone;;Vanuatu;Melanesia;Central Islands;;;Kph;;;1940;2;8;1940;2;8;;;;;;On February 8, 1940, storm occurred in Central Islands, Vanuatu, within the Melanesia subregion. It resulted in no confirmed casualties.;;;
1941-0002-FJI;Storm;Tropical cyclone;;Fiji;Melanesia;Viti Levu;;;Kph;;;1941;2;19;1941;2;19;6;;;;;On February 19, 1941, storm occurred in Viti Levu, Fiji, within the Melanesia subregion. It resulted in 6 deaths.;;;
1942-0005-COK;Storm;Tropical cyclone;;Cook Islands;Polynesia;Palmeston, Suwarrow;;;Kph;;;1942;2;19;1942;2;19;;;;;;On February 19, 1942, storm occurred in Palmeston, Suwarrow, Cook Islands, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1943-0009-COK;Storm;Tropical cyclone;;Cook Islands;Polynesia;Rarotonga;;;Kph;;;1943;3;6;1943;3;6;;;;;;On March 6, 1943, storm occurred in Rarotonga, Cook Islands, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
1946-0003-TON;Volcanic activity;Ash fall;Niuafo'ou;Tonga;Polynesia;Niuafo'ou;;;;;;1946;;;1946;;;;;;2500;;On 1946, volcanic activity occurred in Niuafo'ou, Tonga, within the Polynesia subregion. It resulted in no confirmed casualties.;;;
