Pacific Island Countries and territories;ELEVATION;Elevation;TIME_PERIOD;OBS_VALUE;Island highest elevation
American Samoa;10M;0-10 meters above sea level;2024;25;966
American Samoa;5M;0-5 meters above sea level;2024;11;966
American Samoa;20M;0-20 meters above sea level;2024;42;966
Cook Islands;10M;0-10 meters above sea level;2024;31;652
Cook Islands;20M;0-20 meters above sea level;2024;73;652
Cook Islands;5M;0-5 meters above sea level;2024;7;652
Fiji;10M;0-10 meters above sea level;2024;28;1324
Fiji;5M;0-5 meters above sea level;2024;9;1324
Fiji;20M;0-20 meters above sea level;2024;49;1324
French Polynesia;5M;0-5 meters above sea level;2024;30;2241
French Polynesia;10M;0-10 meters above sea level;2024;55;2241
French Polynesia;20M;0-20 meters above sea level;2024;74;2241
Guam;10M;0-10 meters above sea level;2024;4;180.0
Guam;20M;0-20 meters above sea level;2024;9;180.0
Kiribati;20M;0-20 meters above sea level;2024;99;1,5
Kiribati;5M;0-5 meters above sea level;2024;24;1,5
Kiribati;10M;0-10 meters above sea level;2024;74;1,5
Marshall Islands;20M;0-20 meters above sea level;2024;100;2.5
Marshall Islands;5M;0-5 meters above sea level;2024;61;2.5
Marshall Islands;10M;0-10 meters above sea level;2024;96;2.5
Micronesia (Federated States of);5M;0-5 meters above sea level;2024;22;780
Micronesia (Federated States of);10M;0-10 meters above sea level;2024;40;780
Micronesia (Federated States of);20M;0-20 meters above sea level;2024;60;780
Nauru;20M;0-20 meters above sea level;2024;84;30.0
Nauru;5M;0-5 meters above sea level;2024;30;30.0
Nauru;10M;0-10 meters above sea level;2024;76;30.0
New Caledonia;5M;0-5 meters above sea level;2024;12;1628
New Caledonia;10M;0-10 meters above sea level;2024;31;1628
New Caledonia;20M;0-20 meters above sea level;2024;56;1628
Niue;10M;0-10 meters above sea level;2024;1;60.0
Niue;20M;0-20 meters above sea level;2024;3;60.0
Northern Mariana Islands;10M;0-10 meters above sea level;2024;28;965
Northern Mariana Islands;20M;0-20 meters above sea level;2024;43;965
Palau;5M;0-5 meters above sea level;2024;8;32.5
Palau;10M;0-10 meters above sea level;2024;17;32.5
Palau;20M;0-20 meters above sea level;2024;48;32.5
Papua New Guinea;10M;0-10 meters above sea level;2024;10;4884
Papua New Guinea;20M;0-20 meters above sea level;2024;17;4884
Pitcairn;10M;0-10 meters above sea level;2024;0;280.0
Pitcairn;20M;0-20 meters above sea level;2024;0;280.0
Samoa;5M;0-5 meters above sea level;2024;5;1858
Samoa;10M;0-10 meters above sea level;2024;13;1858
Samoa;20M;0-20 meters above sea level;2024;37;1858
Solomon Islands;5M;0-5 meters above sea level;2024;19;2332
Solomon Islands;20M;0-20 meters above sea level;2024;54;2332
Solomon Islands;10M;0-10 meters above sea level;2024;33;2332
Tokelau;10M;0-10 meters above sea level;2024;0;2.0
Tokelau;20M;0-20 meters above sea level;2024;0;2.0
Tonga;20M;0-20 meters above sea level;2024;77;1030
Tonga;5M;0-5 meters above sea level;2024;3;1030
Tonga;10M;0-10 meters above sea level;2024;27;1030
Tuvalu;5M;0-5 meters above sea level;2024;41;2.0
Tuvalu;20M;0-20 meters above sea level;2024;98;2.0
Tuvalu;10M;0-10 meters above sea level;2024;91;2.0
Vanuatu;20M;0-20 meters above sea level;2024;31;1879
Vanuatu;10M;0-10 meters above sea level;2024;12;1879
Wallis and Futuna;20M;0-20 meters above sea level;2024;63;524
Wallis and Futuna;5M;0-5 meters above sea level;2024;15;524
Wallis and Futuna;10M;0-10 meters above sea level;2024;38;524
;;;;;
